State,Total_Establishments,Total_Employees,Aircraft_Employees,Aircraft_Establishments,Aluminum_Employees,Aluminum_Establishments,Chocolate_Employees,Chocolate_Establishments,Paper_Employees,Paper_Establishments,Petro_Employees,Petro_Establishments,Plastics_Employees,Plastics_Establishments,Semiconductor_Employees,Semiconductor_Establishments,Textile_Employees,Textile_Establishments,Tobacco_Employees,Tobacco_Establishments,Vehicle_Employees,Vehicle_Establishments,Wood_Employees,Wood_Establishments
New Jersey,26.271942639197075,841.0118234458672,1.3221141643324734,0.01804934012740578,1.8844639176769598,0.0552761041401802,1.7976014683138193,0.07106927675166025,17.57216069778749,0.32827237356719263,6.920793855102154,0.0902467006370289,40.01425897870065,0.8325258133765916,1.8054980546195594,0.03271442898092297,7.643331502077366,0.4444650006373673,3.1766838624234173,0.07106927675166025,1.894052629619644,0.081222030573326,8.75223783615486,0.5787069678349478
New Mexico,19.966071104913933,419.8053451915045,1.131602492977831,0.03835940654162139,1.6926088136490443,0.04315433235932407,0.640122596663307,0.06233403563013477,4.248304274484569,0.08630866471864813,6.032016678669964,0.09110359053635081,7.453712183618808,0.2685158457913498,17.295297424453548,0.05753910981243209,1.2634629529646548,0.23015643924972837,1.7669301638234354,0.18220718107270162,1.5943128343861392,0.07192388726554011,8.254464795175155,0.8487018697333734
New York,25.26128803289849,722.5189791796848,4.077104541426402,0.029125825148678397,2.9289338553021853,0.04649912436017077,1.3088737038305214,0.0700041762345428,18.122139505446555,0.2452701065151865,1.0332003236952232,0.07715788767456908,24.470036449692724,0.4971829450818259,2.7518794971615352,0.025548969428665257,6.023936011890695,0.40980546963579073,3.6031711585246615,0.138986393691939,6.287090397005946,0.09299824872034154,12.229780686113486,0.7955949080086362
North Carolina,27.569522910667303,1351.5218764256583,3.6017983048322137,0.030762690148033144,3.0403792096306086,0.03588980517270533,0.4152963169984474,0.03588980517270533,32.16290526127111,0.3476183986727745,1.3699651345924093,0.0594745342861974,59.76524170809632,0.8080333278883371,4.25704360498532,0.017432191083885447,46.800305945207754,0.886990899268289,18.49145304798272,0.15791514275990345,20.92734539620448,0.18765240990300217,40.80004323183389,1.3617617505529338
North Dakota,31.902668275140506,1121.760421252437,1.7938104249686977,0.05717324063645251,1.0648516068539282,0.014293310159113127,1.0434116416152583,0.05717324063645251,2.2869296254581006,0.07146655079556564,7.482547868295723,0.04287993047733939,40.12132161663055,0.8004253689103352,0.0,0.0,10.00531711137919,0.5717324063645252,1.264957949081512,0.11434648127290502,17.302051947606444,0.3430394438187151,53.72855288810625,1.3864510854339736
Ohio,37.64219772223774,1784.2583629477076,11.758693199413559,0.06236884676104286,9.094590585335958,0.1186740556425399,1.5830426035528586,0.06496754870941965,31.0198389237909,0.4591040108798988,7.844614948166724,0.16285198876494525,104.73765021038658,1.4526743891426233,1.8047985031476779,0.015592211690260715,5.71367935049776,0.3534234649792429,4.180878317946852,0.10134937598669465,64.24727515272788,0.41492607775749346,23.93274559357601,1.2023327681156595
Oklahoma,28.420738068899713,1137.8400553630315,15.755658196192742,0.11796100471319748,1.5531532287237668,0.06553389150733194,0.026213556602932772,0.013106778301466386,17.20264652067463,0.1834948962205294,14.662552885850445,0.16514540659847646,38.40417110112666,0.652717559413026,0.09567948160070462,0.005242711320586554,3.4654321829077124,0.435145039608684,4.040819750342087,0.09699015943085126,7.597999381360064,0.16514540659847646,9.844501182231403,0.7051446726188916
Oregon,40.7144467300088,1257.1662529655562,6.476715496134871,0.08719395243262151,4.003228227862417,0.046161504229034915,1.801580928938724,0.11540376057258729,22.193425422114903,0.3256950576159686,1.6938707524043093,0.0743713123690007,24.783598714966303,0.8642459402880427,28.870174103242256,0.09232300845806983,6.490820400204854,0.4949539064557633,8.009020983737559,0.7026806754864204,5.046991129041151,0.25388827325969204,94.41951010847185,2.3978336918970915
Pennsylvania,32.88743808925677,1386.5315222991499,4.035323753542905,0.02350445832565521,7.7709656634337065,0.09636827913518636,8.360927567407654,0.111254436074768,32.61478637267917,0.3478659832196971,7.138695734473582,0.15042853328419334,58.29027316568074,0.9182408385889302,1.1031425774174177,0.022720976381466706,8.853345969330128,0.3995757915361386,6.054356723716688,0.14886156939581632,13.124106047101682,0.15904683467026692,37.06574729761408,1.5959527203119888
Rhode Island,43.30224356655102,1226.501772840315,0.0,0.0,8.740426471876392,0.22850788161768346,0.48081866757054226,0.08569045560663129,25.269163242222167,0.5427062188419982,0.3998887928309461,0.057126970404420864,52.85196878582337,1.0282854672795756,0.0,0.0,27.630411352271558,1.2472721871631889,4.094099545650161,0.14281742601105216,1.6328792373930299,0.11425394080884173,13.739036382263217,0.8949892030025935
South Carolina,24.514561924990097,1408.5679875809824,10.53194694100395,0.0338715881519725,3.545931884659621,0.04233948518996562,0.25191993688029546,0.025403691113979374,48.36121847110849,0.31966311318424045,2.017476469301862,0.07197712482294157,80.9192240950623,0.7980992958308522,0.008467897037993125,0.004233948518996562,51.57160993563763,0.842555755280316,1.6533568966681578,0.05927527926595187,46.190261367993,0.2498029626207972,30.571225281414684,1.0436683099326527
South Dakota,37.043081331582975,1552.947486902325,0.4379891378693808,0.023999404814760594,4.691883641285696,0.03599910722214089,0.5759857155542543,0.10799732166642267,19.091526530142055,0.27599315536974683,0.6539837812022262,0.07199821444428178,35.711114364363766,0.9959752998125646,0.4139897330546202,0.011999702407380297,21.377469838748,0.5039875011099725,2.579936017586764,0.11999702407380296,18.407543492921377,0.26399345296236654,51.65271901256848,1.7519565514775233
Tennessee,27.07611841747592,1426.2660187976194,3.816461059473753,0.04181998725884388,6.334953625506351,0.05421109459479762,4.679191907739532,0.051113317760809185,30.469732939110255,0.3887709926655487,2.625365866805199,0.09293330501965308,61.97334889656415,0.8782197324357216,0.1727010584948553,0.010842218918959525,11.60969312958016,0.4398843104263579,6.478225804078317,0.12391107335953742,54.36288565966306,0.3237176791517915,29.502452122697363,1.4559551119745648
Texas,22.772377190507324,939.3194028228722,7.404102113176677,0.04720021560137507,2.3657669039225797,0.03837415902550819,1.000989938180381,0.028013136088620973,9.515640213555265,0.15963650154611406,20.298203287337685,0.12049485934009571,36.65231051003364,0.5564253058698687,5.549670878268993,0.038757900615763265,5.326141401945409,0.34383246486855334,3.8076759293060496,0.10169152141759669,9.824360322915478,0.12394853365239143,17.80963907453348,0.6596517936484857
Utah,33.32764797374134,1222.9628755358044,5.502073872083613,0.06304094824793445,10.277425701864646,0.09105914746923865,2.9751825298122396,0.143593271009184,20.062781779905137,0.23815469338108566,7.698000236053328,0.11907734669054283,29.361321646475467,1.0086551719669512,7.6051899511327585,0.024515924318641174,6.6035393289711335,0.43428208793021505,3.0452280278655,0.10857052198255376,20.72821401141111,0.16810919532782517,18.495513760963433,1.6215532799329806
Vermont,48.54547284312895,1575.283820891326,27.978741587607885,0.03194832039692593,0.0,0.0,6.46154780027827,0.25558656317540746,30.670387581048896,0.2396124029769445,0.6469534880377501,0.14376744178616668,39.975335896653576,0.8785788109154632,40.07916793794359,0.047922480595388894,3.0670387581048892,0.4951989661523519,6.509470280873659,0.479224805953889,15.159478028341354,0.11181912138924076,75.53381649843213,3.402496122272612
Virginia,18.73839386835872,833.3656044008534,1.1086180608602607,0.01832426546876464,1.9051127999025639,0.019545883166682283,1.0719695299227314,0.01832426546876464,16.976210339112523,0.20401015555224633,1.3224011579958481,0.048864707916705705,38.827896910614356,0.35671236779195165,2.21296045977781,0.008551323885423498,14.553742444141838,0.3823663394482222,10.871175893769102,0.16736162461471704,7.056063823172304,0.0830700034583997,32.681938272390695,1.159315195323843
Washington,30.452317612322553,955.387637429078,31.116373293246408,0.1551396459800273,6.6093838897192,0.062345839038702555,1.7768564126030229,0.07829477460674275,24.554836210231326,0.2740317111235996,6.723201293545669,0.04494700023720417,28.800877829413665,0.604609648352069,4.914447009806565,0.030447967902622178,5.2638736890699915,0.4117725183021285,7.279964135193617,0.5118158414107442,4.778156105861495,0.1290413877777797,33.244106288346316,1.4107558461548275
West Virginia,20.194964679022945,870.3075811153635,7.009221127587227,0.021558542491617767,12.379993025811505,0.05928599185194886,0.1266564371382544,0.016168906868713327,7.02539003445594,0.09701344121227996,4.680898538492508,0.09701344121227996,47.14314279354516,0.5174050197988265,0.0,0.0,1.7435471240095872,0.1778579755558466,2.958909956974539,0.09162380558937552,19.49431204804537,0.1131823480809933,43.41890457811819,1.4174741688238683
Wisconsin,47.13958058800663,2528.2254219842907,1.0556374181466255,0.02794077533555998,5.960989787995874,0.07509083371431745,3.287406848074479,0.11350939980071242,106.97125837219137,0.7823417093956795,1.9907802426586487,0.05238895375417496,108.11246441480316,1.512294465037184,0.08993437061133369,0.012224089209307492,6.549492368501107,0.39117085469783974,5.5593411425472,0.17986874122266738,21.22713091196246,0.2689299626047648,83.15523999554344,2.320830651309951
Wyoming,28.989680992068173,578.0500752933666,0.8847838004760484,0.052046105910355786,0.06939480788047439,0.034697403940237195,0.26023052955177894,0.08674350985059298,0.3816714433426091,0.10409221182071157,36.92671214339743,0.3122766354621347,5.412795014677001,0.19083572167130455,0.0,0.0,9.697924401296294,0.6419019728943881,4.163688472828463,0.17348701970118596,1.0669451711622935,0.12144091379083018,14.243284317467367,1.1797117339680645
