_id,bestsellers_date,published_date,amazon_product_url,author,description,price,publisher,title,rank,rank_last_week,weeks_on_list,l_author,l_title,book_id
5b4aa4ead3089013507db490,2009-02-14,2009-03-01,http://www.amazon.com/A-Darker-Place-Jack-Higgins/dp/0399155503?tag=NYTBS-20,Jack Higgins,A Russian defector becomes a counterspy.,26.95,Putnam,A DARKER PLACE,14,13,3,jackhiggins,adarkerplace,jackhiggins_adarkerplace
5b4aa4ead3089013507db491,2009-02-14,2009-03-01,http://www.amazon.com/Scarpetta-Kay-Patricia-Cornwell/dp/B0040RMEXA?tag=NYTBS-20,Patricia Cornwell,The forensic pathologist Kay Scarpetta takes on a new assignment in New York.,27.95,Putnam,SCARPETTA,15,14,11,patriciacornwell,scarpetta,patriciacornwell_scarpetta
5b4aa4ead3089013507db492,2009-02-14,2009-03-01,http://www.amazon.com/What-Did-Love-Wynette-Texas/dp/0061351504?tag=NYTBS-20,Susan Elizabeth Phillips,"A former sitcom star, abandoned by her husband, elopes with her former co-star, who treats her badly.",25.99,Morrow,WHAT I DID FOR LOVE,16,11,3,susanelizabethphillips,whatididforlove,susanelizabethphillips_whatididforlove
5b4aa4ead3089013507db493,2009-02-14,2009-03-01,http://www.amazon.com/From-Worse-Southern-Vampire-Mysteries/dp/0441015891?tag=NYTBS-20,Charlaine Harris,"Following a deadly explosion at a vampire summit, the cocktail waitress Sookie Stackhouse faces danger.",0,Ace,FROM DEAD TO WORSE,17,0,0,charlaineharris,fromdeadtoworse,charlaineharris_fromdeadtoworse
5b4aa4ead3089013507db494,2009-02-14,2009-03-01,http://www.amazon.com/Drood-A-Novel-Dan-Simmons/dp/0316007021?tag=NYTBS-20,Dan Simmons,,0,"Little, Brown",DROOD,18,0,0,dansimmons,drood,dansimmons_drood
5b4aa4ead3089013507db495,2009-02-14,2009-03-01,http://www.amazon.com/Basketball-Jones-E-Lynn-Harris/dp/0767926277?tag=NYTBS-20,E Lynn Harris,An N.B.A. star hides his male lover.,0,Doubleday,BASKETBALL JONES,19,0,0,elynnharris,basketballjones,elynnharris_basketballjones
5b4aa4ead3089013507db496,2009-02-14,2009-03-01,http://www.amazon.com/Cross-Country-Alex-James-Patterson/dp/0316018724?tag=NYTBS-20,James Patterson,Alex Cross chases the leader of a lethal teenage gang.,0,"Little, Brown",CROSS COUNTRY,20,0,0,jamespatterson,crosscountry,jamespatterson_crosscountry
5b4aa4ead3089013507db497,2009-02-21,2009-03-08,http://www.amazon.com/The-Associate-John-Grisham/dp/0385517831?tag=NYTBS-20,John Grisham,"An idealistic law-school graduate is forced to take a job at a large, brutalizing law firm.",27.95,Doubleday,THE ASSOCIATE,1,1,4,johngrisham,theassociate,johngrisham_theassociate
5b4aa4ead3089013507db498,2009-02-21,2009-03-08,http://www.amazon.com/Run-Your-Life-Michael-Bennett/dp/044656267X?tag=NYTBS-20,James Patterson and Michael Ledwidge,A detective raising 10 children alone must stop a killer who has targeted New York’s rich and powerful.,27.99,"Little, Brown",RUN FOR YOUR LIFE,2,2,3,jamespattersonandmichaelledwidge,runforyourlife,jamespattersonandmichaelledwidge_runforyourlife
5b4aa4ead3089013507db499,2009-02-21,2009-03-08,http://www.amazon.com/Heart-Soul-Maeve-Binchy-ebook/dp/B001NLL98C?tag=NYTBS-20,Maeve Binchy,A doctor establishes a heart clinic in a Dublin neighborhood.,26.95,Knopf,HEART AND SOUL,3,0,1,maevebinchy,heartandsoul,maevebinchy_heartandsoul
